Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,City,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region
ORD-10025,2023-01-26,2023-01-27,Second Class,CUST-20025,David,Home Office,India,Karnataka,Mysore,Technology,Chairs,4635.47,6,0.04,718.66,South
ORD-10026,2023-01-27,2023-01-28,Same Day,CUST-20026,Ali,Home Office,India,Tamil Nadu,Coimbatore,Furniture,Phones,3325.58,3,0.12,898.58,South
ORD-10027,2023-01-28,2023-01-29,Same Day,CUST-20027,Priya,Home Office,India,Karnataka,Mysore,Furniture,Storage,4795.18,5,0.23,-46.43,South
ORD-10028,2023-01-29,2023-01-30,First Class,CUST-20028,Ali,Corporate,India,Tamil Nadu,Coimbatore,Office Supplies,Storage,4406.55,9,0.27,948.74,South
ORD-10029,2023-01-30,2023-01-31,Second Class,CUST-20029,Sara,Corporate,India,Maharashtra,Pune,Office Supplies,Tables,4066.16,3,0.2,-114.55,West
ORD-10030,2023-01-31,2023-02-01,Same Day,CUST-20030,John,Consumer,India,Delhi,New Delhi,Furniture,Storage,602.4,5,0.03,361.81,North
ORD-10031,2023-02-01,2023-02-02,Same Day,CUST-20031,John,Home Office,India,Delhi,New Delhi,Technology,Storage,4503.06,8,0.2,778.6,North
ORD-10032,2023-02-02,2023-02-03,Second Class,CUST-20032,David,Corporate,India,Delhi,New Delhi,Furniture,Storage,5428.66,6,0.19,154.74,North
ORD-10033,2023-02-03,2023-02-04,Same Day,CUST-20033,Meera,Consumer,India,Delhi,New Delhi,Furniture,Phones,6959.76,4,0.24,252.28,North
ORD-10034,2023-02-04,2023-02-05,First Class,CUST-20034,Ali,Consumer,India,Maharashtra,Nagpur,Technology,Storage,275.33,8,0.25,-133.36,West
ORD-10035,2023-02-05,2023-02-06,Second Class,CUST-20035,Meera,Corporate,India,Telangana,Warangal,Technology,Binders,5165.18,3,0.26,-140.2,South
ORD-10036,2023-02-06,2023-02-07,First Class,CUST-20036,David,Home Office,India,Tamil Nadu,Coimbatore,Technology,Storage,4088.17,3,0.12,505.44,South
ORD-10037,2023-02-07,2023-02-08,First Class,CUST-20037,John,Consumer,India,Delhi,New Delhi,Technology,Storage,3151.55,4,0.21,578.19,North
ORD-10038,2023-02-08,2023-02-09,First Class,CUST-20038,Meera,Home Office,India,Karnataka,Mysore,Furniture,Chairs,1067.48,9,0.08,710.53,South
ORD-10039,2023-02-09,2023-02-10,First Class,CUST-20039,Meera,Home Office,India,Karnataka,Mysore,Furniture,Phones,2981.78,5,0.3,423.69,South
ORD-10040,2023-02-10,2023-02-11,Second Class,CUST-20040,John,Home Office,India,Maharashtra,Nagpur,Office Supplies,Tables,2609.76,8,0.05,539.49,West
ORD-10041,2023-02-11,2023-02-12,First Class,CUST-20041,Ali,Consumer,India,Karnataka,Mysore,Furniture,Chairs,2259.24,6,0.0,-282.43,South
ORD-10042,2023-02-12,2023-02-13,First Class,CUST-20042,John,Home Office,India,Delhi,New Delhi,Technology,Accessories,5169.98,3,0.04,-89.18,North
ORD-10043,2023-02-13,2023-02-14,Same Day,CUST-20043,Meera,Consumer,India,Karnataka,Mysore,Office Supplies,Phones,4964.93,8,0.23,980.39,South
ORD-10044,2023-02-14,2023-02-15,Second Class,CUST-20044,Ali,Home Office,India,Delhi,New Delhi,Technology,Binders,4205.34,9,0.13,-201.21,North
ORD-10045,2023-02-15,2023-02-16,Second Class,CUST-20045,Ali,Consumer,India,Delhi,New Delhi,Furniture,Phones,6582.92,8,0.13,582.42,North
ORD-10046,2023-02-16,2023-02-17,Standard Class,CUST-20046,John,Home Office,India,Tamil Nadu,Coimbatore,Office Supplies,Accessories,2579.01,4,0.29,-71.09,South
ORD-10047,2023-02-17,2023-02-18,Second Class,CUST-20047,Meera,Corporate,India,Maharashtra,Mumbai,Technology,Accessories,1857.85,6,0.28,631.73,West
ORD-10048,2023-02-18,2023-02-19,Second Class,CUST-20048,David,Home Office,India,Karnataka,Bangalore,Office Supplies,Accessories,4660.14,1,0.09,617.79,South
ORD-10049,2023-02-19,2023-02-20,Standard Class,CUST-20049,Meera,Home Office,India,Maharashtra,Pune,Office Supplies,Tables,1551.94,4,0.06,4.46,West
ORD-10050,2023-02-20,2023-02-21,Second Class,CUST-20050,Priya,Consumer,India,Tamil Nadu,Chennai,Furniture,Storage,2342.07,8,0.25,50.52,South
ORD-10051,2023-02-21,2023-02-22,Second Class,CUST-20051,Sara,Consumer,India,Tamil Nadu,Chennai,Technology,Phones,1727.3,1,0.27,551.2,South
ORD-10052,2023-02-22,2023-02-23,Second Class,CUST-20052,David,Home Office,India,Maharashtra,Mumbai,Office Supplies,Storage,670.24,3,0.16,207.11,West
ORD-10053,2023-02-23,2023-02-24,Second Class,CUST-20053,Ali,Corporate,India,Tamil Nadu,Madurai,Office Supplies,Storage,5826.99,1,0.19,-47.09,South
ORD-10054,2023-02-24,2023-02-25,Standard Class,CUST-20054,David,Corporate,India,Tamil Nadu,Chennai,Technology,Binders,1930.88,9,0.08,651.18,South
ORD-10055,2023-02-25,2023-02-26,Second Class,CUST-20055,Ali,Consumer,India,Delhi,New Delhi,Office Supplies,Accessories,3416.59,2,0.24,-99.61,North
ORD-10056,2023-02-26,2023-02-27,Second Class,CUST-20056,Ali,Corporate,India,Telangana,Hyderabad,Office Supplies,Tables,494.54,9,0.19,812.34,South
ORD-10057,2023-02-27,2023-02-28,Standard Class,CUST-20057,David,Home Office,India,Tamil Nadu,Madurai,Office Supplies,Binders,4955.51,4,0.15,369.07,South
ORD-10058,2023-02-28,2023-03-01,Same Day,CUST-20058,Ali,Consumer,India,Telangana,Hyderabad,Technology,Chairs,2447.81,2,0.02,-162.59,South
ORD-10059,2023-03-01,2023-03-02,First Class,CUST-20059,Ali,Home Office,India,Telangana,Hyderabad,Technology,Tables,5264.21,4,0.27,602.29,South
ORD-10060,2023-03-02,2023-03-03,Same Day,CUST-20060,Priya,Consumer,India,Karnataka,Bangalore,Technology,Storage,3004.34,6,0.18,374.91,South
ORD-10061,2023-03-03,2023-03-04,Standard Class,CUST-20061,Meera,Consumer,India,Karnataka,Bangalore,Technology,Tables,1531.14,7,0.06,87.47,South
ORD-10062,2023-03-04,2023-03-05,First Class,CUST-20062,Meera,Consumer,India,Delhi,New Delhi,Furniture,Accessories,3689.59,3,0.18,249.3,North
ORD-10063,2023-03-05,2023-03-06,Standard Class,CUST-20063,Sara,Consumer,India,Tamil Nadu,Coimbatore,Office Supplies,Chairs,1087.43,3,0.2,87.84,South
ORD-10064,2023-03-06,2023-03-07,Standard Class,CUST-20064,Sara,Corporate,India,Tamil Nadu,Madurai,Technology,Accessories,3195.67,8,0.16,41.93,South
ORD-10065,2023-03-07,2023-03-08,Second Class,CUST-20065,Priya,Home Office,India,Maharashtra,Nagpur,Office Supplies,Chairs,2357.68,5,0.22,-87.31,West
ORD-10066,2023-03-08,2023-03-09,First Class,CUST-20066,Sara,Home Office,India,Delhi,New Delhi,Office Supplies,Binders,6401.33,4,0.17,171.6,North
ORD-10067,2023-03-09,2023-03-10,Second Class,CUST-20067,David,Home Office,India,Telangana,Hyderabad,Furniture,Storage,614.32,7,0.28,26.28,South
ORD-10068,2023-03-10,2023-03-11,First Class,CUST-20068,John,Consumer,India,Tamil Nadu,Madurai,Technology,Chairs,4919.32,7,0.02,588.46,South
ORD-10069,2023-03-11,2023-03-12,Standard Class,CUST-20069,John,Corporate,India,Maharashtra,Nagpur,Technology,Chairs,1442.71,9,0.03,589.04,West
ORD-10070,2023-03-12,2023-03-13,Standard Class,CUST-20070,John,Home Office,India,Telangana,Hyderabad,Office Supplies,Chairs,2369.51,9,0.05,352.39,South
ORD-10071,2023-03-13,2023-03-14,Same Day,CUST-20071,Priya,Corporate,India,Maharashtra,Pune,Technology,Tables,3025.5,5,0.21,711.33,West
ORD-10072,2023-03-14,2023-03-15,First Class,CUST-20072,Priya,Consumer,India,Telangana,Hyderabad,Office Supplies,Binders,6374.5,8,0.19,793.74,South
ORD-10073,2023-03-15,2023-03-16,Second Class,CUST-20073,Ali,Home Office,India,Karnataka,Mysore,Office Supplies,Tables,1849.53,1,0.27,453.7,South
ORD-10074,2023-03-16,2023-03-17,Same Day,CUST-20074,John,Corporate,India,Delhi,New Delhi,Furniture,Storage,820.9,9,0.22,504.62,North
ORD-10075,2023-03-17,2023-03-18,Same Day,CUST-20075,David,Consumer,India,Maharashtra,Nagpur,Furniture,Chairs,2367.09,8,0.15,67.75,West
ORD-10076,2023-03-18,2023-03-19,Same Day,CUST-20076,Sara,Corporate,India,Tamil Nadu,Chennai,Furniture,Binders,911.8,6,0.3,863.33,South
ORD-10077,2023-03-19,2023-03-20,Second Class,CUST-20077,David,Home Office,India,Delhi,New Delhi,Office Supplies,Binders,1074.46,3,0.08,-268.53,North
ORD-10078,2023-03-20,2023-03-21,Same Day,CUST-20078,Sara,Home Office,India,Maharashtra,Nagpur,Technology,Phones,4102.18,3,0.25,153.18,West
ORD-10079,2023-03-21,2023-03-22,Second Class,CUST-20079,John,Consumer,India,Maharashtra,Nagpur,Furniture,Storage,614.13,8,0.13,638.34,West
ORD-10080,2023-03-22,2023-03-23,Same Day,CUST-20080,John,Consumer,India,Telangana,Hyderabad,Technology,Binders,410.33,5,0.19,-195.88,South
ORD-10081,2023-03-23,2023-03-24,Second Class,CUST-20081,John,Consumer,India,Delhi,New Delhi,Furniture,Chairs,5058.02,7,0.22,-61.88,North
ORD-10082,2023-03-24,2023-03-25,Standard Class,CUST-20082,Priya,Corporate,India,Maharashtra,Nagpur,Furniture,Chairs,2659.2,5,0.19,466.07,West
ORD-10083,2023-03-25,2023-03-26,Standard Class,CUST-20083,Sara,Corporate,India,Telangana,Hyderabad,Office Supplies,Binders,1052.55,8,0.04,427.99,South
ORD-10084,2023-03-26,2023-03-27,Standard Class,CUST-20084,Priya,Corporate,India,Delhi,New Delhi,Furniture,Tables,1924.57,4,0.13,660.61,North
ORD-10085,2023-03-27,2023-03-28,Standard Class,CUST-20085,Priya,Consumer,India,Karnataka,Mysore,Furniture,Storage,4566.19,2,0.17,756.4,South
ORD-10086,2023-03-28,2023-03-29,Standard Class,CUST-20086,Meera,Home Office,India,Maharashtra,Pune,Office Supplies,Chairs,2073.65,3,0.25,-132.85,West
ORD-10087,2023-03-29,2023-03-30,Same Day,CUST-20087,David,Home Office,India,Tamil Nadu,Chennai,Technology,Binders,3562.74,8,0.13,-276.1,South
ORD-10088,2023-03-30,2023-03-31,Same Day,CUST-20088,David,Corporate,India,Delhi,New Delhi,Furniture,Chairs,1027.53,7,0.28,596.53,North
ORD-10089,2023-03-31,2023-04-01,Same Day,CUST-20089,Ali,Corporate,India,Delhi,New Delhi,Office Supplies,Binders,4199.04,2,0.13,91.81,North
ORD-10090,2023-04-01,2023-04-02,Second Class,CUST-20090,Priya,Home Office,India,Delhi,New Delhi,Furniture,Storage,2349.33,6,0.16,513.78,North
ORD-10091,2023-04-02,2023-04-03,Second Class,CUST-20091,Sara,Home Office,India,Delhi,New Delhi,Office Supplies,Binders,4463.39,9,0.24,-104.29,North
ORD-10092,2023-04-03,2023-04-04,Second Class,CUST-20092,Meera,Corporate,India,Delhi,New Delhi,Technology,Phones,5697.09,4,0.17,309.75,North
ORD-10093,2023-04-04,2023-04-05,Second Class,CUST-20093,Meera,Corporate,India,Telangana,Warangal,Technology,Binders,4359.2,9,0.29,355.75,South
ORD-10094,2023-04-05,2023-04-06,Standard Class,CUST-20094,David,Home Office,India,Karnataka,Bangalore,Office Supplies,Binders,2211.08,2,0.2,460.6,South
ORD-10095,2023-04-06,2023-04-07,Standard Class,CUST-20095,Priya,Consumer,India,Delhi,New Delhi,Office Supplies,Storage,1939.06,2,0.16,367.12,North
ORD-10096,2023-04-07,2023-04-08,Standard Class,CUST-20096,Ali,Corporate,India,Tamil Nadu,Madurai,Office Supplies,Binders,2426.46,9,0.01,344.4,South
ORD-10097,2023-04-08,2023-04-09,First Class,CUST-20097,Priya,Home Office,India,Tamil Nadu,Chennai,Technology,Storage,1319.42,7,0.12,132.55,South
ORD-10098,2023-04-09,2023-04-10,Same Day,CUST-20098,John,Home Office,India,Tamil Nadu,Madurai,Furniture,Phones,1431.97,7,0.09,-207.47,South
ORD-10099,2023-04-10,2023-04-11,Second Class,CUST-20099,Priya,Home Office,India,Tamil Nadu,Chennai,Technology,Storage,5576.7,1,0.22,-183.62,South
ORD-10100,2023-04-11,2023-04-12,Second Class,CUST-20100,John,Home Office,India,Tamil Nadu,Madurai,Office Supplies,Chairs,2816.18,6,0.06,263.91,South
ORD-10101,2023-04-12,2023-04-13,Standard Class,CUST-20101,John,Consumer,India,Telangana,Hyderabad,Office Supplies,Storage,3164.77,7,0.06,162.53,South
ORD-10102,2023-04-13,2023-04-14,Second Class,CUST-20102,Ali,Home Office,India,Maharashtra,Mumbai,Technology,Phones,4239.54,6,0.06,370.98,West
ORD-10103,2023-04-14,2023-04-15,Second Class,CUST-20103,Sara,Corporate,India,Telangana,Warangal,Office Supplies,Accessories,4209.64,6,0.04,96.29,South
ORD-10104,2023-04-15,2023-04-16,Same Day,CUST-20104,David,Consumer,India,Delhi,New Delhi,Technology,Binders,658.16,2,0.09,594.28,North
ORD-10105,2023-04-16,2023-04-17,Standard Class,CUST-20105,Priya,Home Office,India,Telangana,Warangal,Office Supplies,Storage,5854.48,6,0.27,823.14,South
ORD-10106,2023-04-17,2023-04-18,Same Day,CUST-20106,John,Consumer,India,Tamil Nadu,Chennai,Furniture,Binders,1405.82,4,0.23,88.52,South
ORD-10107,2023-04-18,2023-04-19,First Class,CUST-20107,Priya,Corporate,India,Tamil Nadu,Coimbatore,Furniture,Tables,5116.89,9,0.22,-49.12,South
ORD-10108,2023-04-19,2023-04-20,First Class,CUST-20108,Sara,Home Office,India,Delhi,New Delhi,Office Supplies,Chairs,5454.16,1,0.24,-148.97,North
ORD-10109,2023-04-20,2023-04-21,First Class,CUST-20109,David,Corporate,India,Delhi,New Delhi,Technology,Chairs,5061.32,8,0.08,501.13,North
ORD-10110,2023-04-21,2023-04-22,Standard Class,CUST-20110,Sara,Home Office,India,Karnataka,Bangalore,Furniture,Tables,4137.05,5,0.27,277.01,South
ORD-10111,2023-04-22,2023-04-23,Second Class,CUST-20111,David,Home Office,India,Tamil Nadu,Chennai,Technology,Tables,299.34,1,0.04,-55.58,South
ORD-10112,2023-04-23,2023-04-24,Standard Class,CUST-20112,Meera,Home Office,India,Tamil Nadu,Chennai,Office Supplies,Storage,2650.55,4,0.1,549.08,South
ORD-10113,2023-04-24,2023-04-25,Standard Class,CUST-20113,David,Home Office,India,Telangana,Hyderabad,Technology,Tables,4312.91,1,0.18,-106.97,South
ORD-10114,2023-04-25,2023-04-26,Second Class,CUST-20114,Ali,Home Office,India,Karnataka,Mysore,Furniture,Accessories,2834.67,6,0.03,420.59,South
ORD-10115,2023-04-26,2023-04-27,Same Day,CUST-20115,Sara,Consumer,India,Delhi,New Delhi,Technology,Binders,6071.66,2,0.22,385.29,North
ORD-10116,2023-04-27,2023-04-28,First Class,CUST-20116,John,Home Office,India,Maharashtra,Mumbai,Technology,Binders,2299.86,5,0.12,654.5,West
ORD-10117,2023-04-28,2023-04-29,Same Day,CUST-20117,Meera,Home Office,India,Tamil Nadu,Madurai,Office Supplies,Phones,2196.04,7,0.24,-228.36,South
ORD-10118,2023-04-29,2023-04-30,First Class,CUST-20118,Ali,Consumer,India,Karnataka,Bangalore,Office Supplies,Tables,2008.78,2,0.15,854.23,South
ORD-10119,2023-04-30,2023-05-01,Standard Class,CUST-20119,Priya,Consumer,India,Delhi,New Delhi,Office Supplies,Tables,2462.91,6,0.05,613.89,North
ORD-10120,2023-05-01,2023-05-02,First Class,CUST-20120,Sara,Consumer,India,Karnataka,Mysore,Furniture,Accessories,3990.35,6,0.22,-19.04,South
ORD-10121,2023-05-02,2023-05-03,Standard Class,CUST-20121,John,Consumer,India,Delhi,New Delhi,Furniture,Chairs,5007.7,5,0.08,-61.57,North
ORD-10122,2023-05-03,2023-05-04,Same Day,CUST-20122,David,Consumer,India,Telangana,Warangal,Office Supplies,Chairs,4705.46,5,0.15,261.16,South
ORD-10123,2023-05-04,2023-05-05,Standard Class,CUST-20123,John,Consumer,India,Telangana,Hyderabad,Office Supplies,Binders,5692.48,3,0.02,762.83,South
ORD-10124,2023-05-05,2023-05-06,Same Day,CUST-20124,Priya,Home Office,India,Maharashtra,Pune,Furniture,Binders,6224.22,2,0.19,795.83,West
ORD-10125,2023-05-06,2023-05-07,Second Class,CUST-20125,Meera,Home Office,India,Telangana,Hyderabad,Furniture,Storage,5749.34,7,0.2,376.59,South
ORD-10126,2023-05-07,2023-05-08,Second Class,CUST-20126,Meera,Corporate,India,Tamil Nadu,Chennai,Furniture,Accessories,328.83,1,0.11,819.05,South
ORD-10127,2023-05-08,2023-05-09,Second Class,CUST-20127,Sara,Home Office,India,Delhi,New Delhi,Furniture,Phones,5204.24,6,0.29,-292.92,North
ORD-10128,2023-05-09,2023-05-10,Standard Class,CUST-20128,Meera,Home Office,India,Telangana,Warangal,Office Supplies,Phones,1617.12,6,0.26,-254.27,South
ORD-10129,2023-05-10,2023-05-11,Second Class,CUST-20129,Sara,Consumer,India,Maharashtra,Nagpur,Furniture,Accessories,1103.91,3,0.21,885.37,West
ORD-10130,2023-05-11,2023-05-12,First Class,CUST-20130,Sara,Consumer,India,Delhi,New Delhi,Office Supplies,Phones,4541.72,2,0.21,707.93,North
ORD-10131,2023-05-12,2023-05-13,Same Day,CUST-20131,Sara,Home Office,India,Delhi,New Delhi,Technology,Chairs,2374.25,2,0.08,285.92,North
ORD-10132,2023-05-13,2023-05-14,Same Day,CUST-20132,David,Corporate,India,Telangana,Warangal,Technology,Phones,588.4,9,0.2,679.69,South
ORD-10133,2023-05-14,2023-05-15,First Class,CUST-20133,Ali,Consumer,India,Telangana,Warangal,Furniture,Phones,1135.88,5,0.06,942.33,South
ORD-10134,2023-05-15,2023-05-16,Standard Class,CUST-20134,Sara,Home Office,India,Telangana,Hyderabad,Technology,Accessories,206.32,7,0.04,703.72,South
ORD-10135,2023-05-16,2023-05-17,Standard Class,CUST-20135,Sara,Home Office,India,Telangana,Warangal,Technology,Accessories,6341.92,5,0.3,795.08,South
ORD-10136,2023-05-17,2023-05-18,Same Day,CUST-20136,Ali,Corporate,India,Delhi,New Delhi,Technology,Phones,367.4,7,0.19,688.79,North
ORD-10137,2023-05-18,2023-05-19,Second Class,CUST-20137,John,Corporate,India,Tamil Nadu,Chennai,Furniture,Tables,1624.3,4,0.13,-81.33,South
ORD-10138,2023-05-19,2023-05-20,Standard Class,CUST-20138,Sara,Consumer,India,Karnataka,Mysore,Furniture,Accessories,3030.59,8,0.09,783.65,South
ORD-10139,2023-05-20,2023-05-21,Standard Class,CUST-20139,David,Corporate,India,Tamil Nadu,Madurai,Technology,Storage,2624.69,7,0.18,-46.36,South
ORD-10140,2023-05-21,2023-05-22,First Class,CUST-20140,Meera,Home Office,India,Delhi,New Delhi,Office Supplies,Storage,6399.74,5,0.01,860.39,North
ORD-10141,2023-05-22,2023-05-23,First Class,CUST-20141,Meera,Home Office,India,Tamil Nadu,Chennai,Technology,Chairs,473.96,6,0.03,296.24,South
ORD-10142,2023-05-23,2023-05-24,Second Class,CUST-20142,Priya,Corporate,India,Karnataka,Bangalore,Furniture,Phones,3683.06,5,0.01,580.07,South
ORD-10143,2023-05-24,2023-05-25,Standard Class,CUST-20143,Priya,Corporate,India,Karnataka,Bangalore,Furniture,Tables,4827.26,7,0.15,346.41,South
ORD-10144,2023-05-25,2023-05-26,Standard Class,CUST-20144,Meera,Corporate,India,Delhi,New Delhi,Furniture,Chairs,6535.55,2,0.18,-177.81,North
ORD-10145,2023-05-26,2023-05-27,First Class,CUST-20145,Meera,Corporate,India,Karnataka,Mysore,Technology,Phones,4418.52,5,0.02,77.94,South
ORD-10146,2023-05-27,2023-05-28,Standard Class,CUST-20146,David,Consumer,India,Tamil Nadu,Chennai,Office Supplies,Accessories,5665.54,3,0.22,978.85,South
ORD-10147,2023-05-28,2023-05-29,Same Day,CUST-20147,Ali,Corporate,India,Karnataka,Bangalore,Furniture,Storage,769.33,9,0.07,948.93,South
ORD-10148,2023-05-29,2023-05-30,First Class,CUST-20148,Priya,Consumer,India,Delhi,New Delhi,Furniture,Binders,2824.39,6,0.21,116.63,North
ORD-10149,2023-05-30,2023-05-31,Second Class,CUST-20149,Ali,Home Office,India,Maharashtra,Mumbai,Technology,Tables,2742.84,3,0.29,995.19,West
ORD-10150,2023-05-31,2023-06-01,First Class,CUST-20150,David,Corporate,India,Telangana,Hyderabad,Office Supplies,Binders,6226.76,7,0.21,799.22,South
ORD-10151,2023-06-01,2023-06-02,Standard Class,CUST-20151,Meera,Consumer,India,Tamil Nadu,Chennai,Technology,Storage,1229.32,4,0.26,494.25,South
ORD-10152,2023-06-02,2023-06-03,Second Class,CUST-20152,Sara,Corporate,India,Telangana,Hyderabad,Furniture,Binders,1232.83,3,0.28,-247.84,South
ORD-10153,2023-06-03,2023-06-04,First Class,CUST-20153,Ali,Home Office,India,Telangana,Warangal,Office Supplies,Accessories,2434.2,8,0.15,871.88,South
ORD-10154,2023-06-04,2023-06-05,Same Day,CUST-20154,Meera,Home Office,India,Tamil Nadu,Madurai,Office Supplies,Phones,570.37,4,0.21,424.66,South
ORD-10155,2023-06-05,2023-06-06,Same Day,CUST-20155,Meera,Home Office,India,Tamil Nadu,Coimbatore,Furniture,Accessories,1440.71,1,0.26,829.02,South
ORD-10156,2023-06-06,2023-06-07,First Class,CUST-20156,John,Corporate,India,Delhi,New Delhi,Office Supplies,Binders,6763.43,6,0.11,784.76,North
ORD-10157,2023-06-07,2023-06-08,Same Day,CUST-20157,Ali,Corporate,India,Telangana,Warangal,Office Supplies,Accessories,3111.65,1,0.08,782.91,South
ORD-10158,2023-06-08,2023-06-09,Same Day,CUST-20158,Sara,Consumer,India,Tamil Nadu,Madurai,Technology,Storage,4497.73,5,0.28,607.63,South
ORD-10159,2023-06-09,2023-06-10,Same Day,CUST-20159,Ali,Home Office,India,Tamil Nadu,Chennai,Furniture,Tables,5137.56,7,0.22,78.84,South
ORD-10160,2023-06-10,2023-06-11,Second Class,CUST-20160,Meera,Corporate,India,Karnataka,Mysore,Furniture,Accessories,2695.34,6,0.07,137.01,South
ORD-10161,2023-06-11,2023-06-12,Same Day,CUST-20161,Sara,Home Office,India,Karnataka,Mysore,Furniture,Storage,1201.14,2,0.13,101.01,South
ORD-10162,2023-06-12,2023-06-13,Same Day,CUST-20162,David,Home Office,India,Telangana,Warangal,Furniture,Tables,1604.75,4,0.24,-273.94,South
ORD-10163,2023-06-13,2023-06-14,Same Day,CUST-20163,John,Consumer,India,Maharashtra,Mumbai,Furniture,Phones,2330.21,2,0.16,457.34,West
ORD-10164,2023-06-14,2023-06-15,Second Class,CUST-20164,Meera,Consumer,India,Delhi,New Delhi,Office Supplies,Binders,4525.27,1,0.19,608.48,North
ORD-10165,2023-06-15,2023-06-16,First Class,CUST-20165,Priya,Consumer,India,Tamil Nadu,Chennai,Technology,Phones,2908.31,3,0.23,810.03,South
ORD-10166,2023-06-16,2023-06-17,Standard Class,CUST-20166,Priya,Consumer,India,Maharashtra,Nagpur,Furniture,Chairs,246.34,3,0.19,-117.78,West
ORD-10167,2023-06-17,2023-06-18,Same Day,CUST-20167,John,Home Office,India,Telangana,Hyderabad,Technology,Storage,3759.17,7,0.16,407.44,South
